ID	Year	Title	Description	Inventor	Location	Dependencies	Field	URL	
thorium	1828	Thorium	Thorium was discovered as a new chemical element.	Jöns Jacob Berzelius	Sweden		Science	In 1828, the chemist identified thorium as a new chemical element, naming it after the Norse god of thunder due to its formidable properties. The identification of thorium added to the understanding of heavy elements in the periodic table and laid the groundwork for its eventual use in areas like nuclear energy and material sciences.	
nicol-prism	1829	Nicol prism	The Nicol Prism is an optical device that improved the method of polarizing light, allowing for the polarimetry technique to become practical. This prism could separate polarized light into two distinct planes, which was useful in studying the optical properties of various substances.	William Nicol	Scotland	polarized-light	Science	In 1829, the Nicol Prism was devised as an instrument for polarizing light more effectively. It was created by cutting a crystal of Iceland spar (calcite) obliquely and then cementing the two halves together with Canadian balsam. The device could filter out one of the polarized light rays by using the difference in index of refraction between the calcite and the balsam. Through this method, a second Nicol prism could then be used to measure the brightness and determine the degree of twist applied, making polarimetry a practical scientific technique.	
achromatic-microscopes	1830	Achromatic microscopes	An achromatic microscope is a device that corrects chromatic aberration, allowing finer details and colored fuzziness of microscopically small entities to be seen more clearly. It significantly improved the study of microorganisms by providing clearer images.	Joseph Jackson Lister	England	microscope	Science	The invention of the achromatic microscope was a crucial step in microscopy that tackled the persistent issue of chromatic aberration. This invention allowed scientists like Joseph Jackson Lister to observe microscopic elements such as blood corpuscles in greater detail, which was not previously possible, thus enhancing the study of biology and medicine.	
group-theory	1830	Group theory	Group Theory is a mathematical concept that provides a system for studying symmetrical structures known as groups, forming the foundation for modern algebra and various applications in other fields.	Évariste Galois	France	algebra	Math	French mathematician Évariste Galois developed Group Theory, which has grown to be a fundamental concept in abstract algebra. It's particularly influential in the understanding of symmetrical properties in various mathematical structures and has had extensive applications in physics, including the groundwork for quantum mechanics.	
uniformitarianism-lyell	1830	Uniformitarianism	Charles Lyell wrote "Principles of Geology", a much better written and clearer explanation of Hutton's ideas, pushing back against Cuvier's catastrophism. Earth's development is now viewed as mainly, uniformitarian.	Charles Lyell	England	catastrophism, uniformitarianism	Science	Uniformitarianism, which was introduced half a century earlier, gained popularity with the publication of Charles Lyell's 'Principles of Geology', where he explained Earth's features and history through consistent, gradual processes rather than sudden, catastrophic events, influencing the development of geology as a science.	
electric-generators	1831	Electric generators	The electric generator is a device that converts mechanical energy into electrical energy, using electromagnetic induction to produce electricity as a metal rim or disc rotates through a magnetic field. This invention set the foundation for generating electricity on a large scale, revolutionizing power generation and distribution.	Michael Faraday	England	electrical-motion	Science	Electric generators are based on the principle that electric current can be produced through electromagnetic induction. Michael Faraday created the first electric generator in 1831 by winding a coil of wire around an iron ring, creating a simple transformer and discovering electromagnetic induction, though it didn't work continuously as expected.	
electric-motors	1831	Electric motors	Electric motors are machines that convert electrical energy into mechanical energy, typically through the interaction of magnetic fields and current-carrying conductors. They form an essential component of countless devices and are key to the functionality of modern machinery and transport.	Joseph Henry	England	electromagnets	Science	The development of electric motors, inspired by discoveries in electromagnetic induction, led to a way of converting electricity into mechanical motion. While Michael Faraday's work helped lay the groundwork for creating a practical electric motor, it was also suggested that William Sturgeon improved on the concept to create motors that could drive machinery, making the technology more applicable and valuable to industry and innovation.	
matches	1831	Matches	Chemical matches were an evolution in the way fires were started, utilizing a chemical coating that could ignite with friction. They provided a quick and easy way to produce flames and later adjustments made them safer for use.	Charles Sauria	France	phosphorus	General	Chemical matches, invented in the early 1800s, improved upon traditional fire-starting methods by using chemicals that react when struck to produce a flame. The early versions used toxic phosphorus which posed health risks until a safer formula was developed.	
north-magnetic-pole	1831	North magnetic pole	The North Magnetic Pole was precisely located, marking an important geographical discovery in understanding Earth's magnetic properties. The determination of its location provided a reference for magnetic navigation.	James Clark Ross	Scotland	earth-magnet	Geography	The exact position of the Earth's North Magnetic Pole was identified after it was understood to not align with the geographic poles. The effort solved the mystery of Earth's magnetic poles and facilitated improvements in navigation.	
cell-nucleus	1831	Cell nucleus	The discovery of the cell nucleus provided fundamental insight into cellular structure and function. It was the first identified and named organelle within plant tissue cells.	Robert Brown	England	cell	Science	The cell nucleus was observed as the central structure within cells, important in their function and biology, and coined with a term meaning 'little nut'. This precursor to genetic discovery was foundational for later developments in cell biology.	
diffusion	1831	Diffusion	The natural phenomenon of gas diffusion was characterized, explaining how gases spread out evenly in a space. This concept has broad applications in physics, chemistry, and various industries.	Thomas Graham	England	kinetic-gases	Science	Diffusion describes the process where gas molecules move from areas of higher concentration to lower concentration until they are evenly distributed. This scientific principle is crucial to understanding how molecules interact in various environments.	
chloroform	1831	Chloroform	Chloroform is a chemical that was identified for usage in anesthesia. Its discovery opened a new era in medical operations allowing patients to undergo procedures without the pain they would otherwise experience.	Samuel Guthrie	United States	nitrous-oxide	Science	Samuel Guthrie discovered chloroform (CHCl3) in 1831. In the following decade, it became an important compound in medical practices, particularly due to its application in anesthesia which revolutionized the way surgical operations could be performed.	
cyclonic-storms	1831	Cyclonic storms	Cyclonic storms in the Northern Hemisphere whirl counter-clockwise and that this is opposite to the direction they take in the Southern Hemisphere. This was a significant discovery in meteorology, influencing the understanding of storm systems.	William C. Redfield	United States	ocean-navigation, trade-winds	Science	William C. Redfield, an American meteorologist, observed the effects of a hurricane on Connecticut and deduced the pattern of cyclonic storms. He theorized that these storms spin counter-clockwise in the Northern Hemisphere and aligned with this theory; in the Southern Hemisphere, they spin clockwise.	
laws-of-electrolysis	1832	Laws of electrolysis	Faraday named liquids that conducted electricity "electrolytes", positively charged electrodes "anode" (high rode) and negative "cathode" (low road), and observed that the mass of substance liberated is proportional to the current and atomic weight of the element.	Michael Faraday	England	electric-battery	Science	In 1832, the concept of electrolysis was further developed with the introduction of laws describing the process. It involved passing an electric current through molten compounds of metals, thereby naming a liquid or a solution that could conduct electricity an electrolyte. These laws state that the mass of substance liberated during electrolysis is directly proportional to the quantity of electricity that flows through the solution and to the number of atoms that one atom of the element will combine with.	
diastase	1833	Diastase	Diastase was the first enzyme to be isolated which has the property of hastening the conversion of starch to glucose, representing a significant leap in biochemical understanding. Because of it, the suffix -ase came to be used to name enzymes.	Anselme Payen	France	catalysis	Science	In 1833, a French chemist discovered diastase, an enzyme extracted from malt extract that accelerated the conversion of starch into glucose. This discovery proved significant by identifying a catalyst from organic material that wasn't a living organism, displaying catalytic activity on its own. The substance was named after the Greek word for 'separate', hinting at its role in breaking down starch into glucose molecules. This was an important milestone in the study of organic chemistry as well as enzymology, showing that yeast is an organic catalyst known since ancient times.	
mechanical-reaper	1834	Mechanical reaper	The McCormick reaper streamlined the harvesting process, boosting agricultural efficiency at the time. It was an innovative step forward in farm machinery, significantly reducing the amount of labor needed to reap crops.	Cyrus Hall McCormick	United States		Design	In 1834, the mechanical reaper was patented by an American inventor and provided a successful solution to labor-intensive crop harvesting. It was a step forward in agricultural mechanization, proving to be very successful especially across the vast grain fields of the American Midwest, facilitating more efficient and less laborious harvest. The development of the mechanical reaper marked the beginning of a series of innovations in farm machinery that greatly improved farming efficiency.	174 yr old MCCormick Reaper Demo
cellulose	1833	Cellulose	Cellulose is a complex carbohydrate that constitutes the primary structural component of plant cell walls. It was discovered to be a distinct from starch, critical for production of paper. As a result, the -ose suffix spread to carbs generally.	Anselme Payen	France		Science	The chemical composition of wood was analyzed, and a substance was found that was definitely not starch but could be broken down into glucose units as starch could. This substance, extracted from plant cell walls, was named cellulose. It forms the basis for understanding sugars and substances that can be broken down into sugars, consisting of carbon, hydrogen, and oxygen atoms. The discovery of carbohydrates being more complex than previously thought transformed several industries.	
dry-ice	1835	Dry ice	Dry ice is the solid form of carbon dioxide, which was discovered to be capable of cooling a liquid to the point of solidification without the need for lower ambient temperature. This was the lwest temperature reached in the laboratory, lower than any temperature ever recorded anywhere on Earth.	C.S.A. Thilorier	France	liquefying-gases	Science	Building on the concept that energy is consumed in converting a liquid to a vapor, it was shown that a liquid could evaporate under conditions where no outside heat could enter, causing cooling. This principle underlies the process of making dry ice, introduced by French chemist C.S.A. Thilorier. Dry ice is widely used for cooling, preservation, and in the context of various scientific applications.	
coriolis-effect	1835	Coriolis effect	The Coriolis Effect explains the deflection of moving objects when they are viewed in a rotating reference frame, which significantly impacts meteorological and oceanic processes. It affects the curved paths of winds and water currents on the Earth, and must be taken into account for satellite launches.	Gaspard-Gustave de Coriolis	France	cyclonic-storms	Science	A French physicist conceptualized the Coriolis Effect, which occurs due to the Earth's rotation causing an apparent deflection to the paths of moving objects. This concept is critical in understanding the behavior of atmospheric and oceanic circulations and contributes to the explanation of the rotation of cyclones and the general circulation of the atmosphere. The effect increases with latitude, and thus the movement of air or water is more pronounced closer to the poles and less evident at the Equator.	
revolvers	1835	Revolvers	A revolver was a handgun capable of holding multiple bullets in a rotating cylinder, allowing for consecutive firings without the need to reload after each shot. It revolutionized personal firearms, enabling more rapid firing in combat situations.	Samuel Colt	United States	rifle	War	A revolver is a repeating handgun that has a revolving cylinder containing multiple chambers and at least one barrel for firing. Before its invention, handguns could only fire once before a time-consuming reloading process. The revolver, patented by Samuel Colt, permitted the user to fire several times before needing to reload, drastically improving the firepower available to individuals and changing the dynamics of personal defense and warfare.	
pepsin	1836	Pepsin	Pepsin is an enzyme discovered to facilitate the digestion of food, in particular proteins, within the stomach. Pepsin was the first animal enzyme to be isolated.	Theodor Ambrose Hubert Schwann	Germany	gastric-acidity	Science	The discovery of pepsin marked a significant advancement in medical science and biochemistry as it was one of the first enzymes to be identified. Previously, scientists believed that hydrochloric acid alone was responsible for digesting food in the stomach. The work by Theodor Schwann identified pepsin as the substance in gastric juice that enables the digestion of meat more effectively than acid alone. This discovery led to a greater understanding of the digestive system and helped in treating digestive disorders.	
daniell-cell	1836	Daniell cell	The Daniell Cell is a type of battery that made use of copper and zinc electrodes, providing a reliable and constant source of electricity over extended periods. It was pivotal in the progression of battery technology for a range of applications.	John Frederic Daniell	United Kingdom	laws-of-electrolysis	Science	Invented by the British chemist John Frederic Daniell in 1836, the Daniell Cell was a significant advance in battery technology. It consisted of copper and zinc electrodes and was designed to deliver a steady and long-lasting current, which was essential for the more consistent operation of electronic devices at the time.	
ice-age	1837	Ice age	The theory of the Ice Age proposed that extensive ice sheets had once covered vast mountainous and lowland areas and this concept was pivotal in advancing the understanding of Earth's climatic and geological history. It was a crucial development in geology and paleoclimatology.	Not mentioned explicitly but associated with Louis Agassiz	Switzerland	glaciers, uniformitarianism-lyell	Geography	In 1837, Swiss geologists, notably Venetz and subsequently Louis Agassiz, built upon earlier evidence and began advocating for the idea that large ice sheets had once covered more extensive areas than previously thought, including both mountainous terrains and lowlands in the northern parts of continents. This was a significant shift in the scientific understanding of Earth's natural history, implying extensive glaciation in the planet's past, which was later confirmed by further evidence found in Great Britain and North America.	
chlorophyll-and-cells	1837	Chlorophyll and cells	Dutrochet definitely showed that photosynthesis took place only in those plant cells that contained chlorophyll. 	René-Joachim-Henri Dutrochet	France	chlorophyll	Science	The isolation of chlorophyll, which occurred in 1817, led to the widespread acceptance of its presence in plants and the realization of its significant function. By 1837, it was definitively shown that photosynthesis could only occur in plant cells containing chlorophyll, which is essential for converting sunlight into usable chemical energy for the plant, thus underlining the crucial role of chlorophyll in the sustenance of multicellular life.	
trisecting-an-angle	1837	Trisecting an angle	Wantzel proved that trisecting an angle solely with a compass and straightedge was impossible under the restrictions set by Greek rules. This result contributed to the field of mathematics by establishing the limitations of certain geometric constructions.	Pierre Wantzel	France	no-quintic-equation	Math	The task of trisecting an angle using only a compass and straightedge has been a problem since the time of the ancient Greeks. Despite numerous attempts, it was proven in 1837 that this construction is impossible to perform under the strict rules established by Greek geometry, which impacts the foundation of geometrical construction and the understanding of mathematical proofs.	
distance-of-stars	1838	Distance of stars	Improvements to telescopes enabled better estimation of the distance of stars from Earth by observing the parallax of stars such as Alpha Centauri. This highlighted the vast scale of the cosmos, measured in light years.	Friedrich Wilhelm Bessel	Germany	distance-of-the-sun, achromatic-microscopes	Science	By observing the stars and considering the parallax effect due to the Earth's movement around the Sun, astronomers deduced that a displacement of nearby stars should occur. It was difficult to measure until the 1830s due to the parallax being so small. With refinement of techniques, astronomers were finally able to measure stellar distances, leading to the determination that Alpha Centauri is about 4.3 light-years away and Vega is about 11 light-years away.	
cell-theory	1838	Cell theory	Cell Theory provided a fundamental understanding that all living organisms are composed of cells, which are the basic unit of life. This theory also proposed that new cells could only arise from the division of existing cells, reinforcing the concept of cells as a fundamental unit of biological structure and function.	Matthias Schleiden and Theodor Ambrose Hubert Schwann	Germany	cell-nucleus	Science	In 1838, Cell Theory marked a significant milestone in biological sciences by stating that all living tissue is made up of cells. The theory established that both plant and animal cells were enclosed by cell membranes, had a nucleus, and contributed to reproduction and growth, forming the foundation for future biological research.	
yeast-cells	1838	Yeast cells	The understanding of yeast cells was enhanced through the discovery of substances within these organisms, which are vital for the fermentation process. This fundamental knowledge of yeast cells contributed to the burgeoning field of microbiology and the study of living organisms at a cellular level.	Charles Cagniard de la Tour	France	diastase, pepsin, fermentation	Science	In 1838, advancements were made in the study of yeast cells, which were found to engage in a process indispensible for the morphology and function of life. The observation under the microscope revealed their budding nature and active growth, affirming their status as living entities.	
protein	1838	Protein	Protein was established as a fundamental substance consisting of amino acids. Proteins play essential roles in the structure, function, and regulation of the body's cells and organs.	Gerardus Johannes Mulder	Netherlands	food-classification	Science	The elucidation of protein in 1838 involved the identification of a basic building block of living tissue that was more complex than fats or carbohydrates. The substance, named from the Greek word 'proteios' meaning 'first,' underscored the compound's significance in the composition and function of living tissue.	
morse-code	1838	Morse Code	Morse Code revolutionized communication by enabling the transmission of text through sequences of dots and dashes, sent over telegraph wires. This system underpinned the early era of electronic communication, facilitating rapid long-distance messaging.	Samuel Morse	United States	electromagnets	Design	Morse Code was developed as a method to encode text characters as standardized sequences of dots and dashes or short and long signals, respectively. It was designed for use with telegraph systems and greatly improved the speed and efficiency of remote communication across vast distances.	
photography	1839	Photography	Photography is the process developed for capturing images by causing light to fall on a suspension of silver salts, creating a permanent depiction of a scene. This invention revolutionized the way we capture and memorialize images, significantly impacting various fields such as art, science, and journalism.	Louis-Jacques-Mandé Daguerre	France		Science	French artist Louis-Jacques-Mandé Daguerre had been working for years on perfecting a method to capture images by exposing a suspension of silver salts in such a way as to darken it selectively, thereby creating a permanent image. Known as photography, this process initially faced challenges due to the lengthy exposure times required, but advancements continued, leading to rapidly improving photograph quality. By 1839, the technique had been refined significantly, allowing Daguerre to dissolve unaltered silver salts with a solution of sodium thiosulfate, making the results permanent with an exposure of at least twenty minutes.	
photography-of-the-moon	1839	Photography of the moon	This was the first known instance of astronomical photography, where an image of the Moon was successfully captured, representing a pioneer fusion between photography and astronomy. The achievement marked the beginning of a new era in space observation and documentation.	John William Draper	United States	photography	Space	As exposure times continued to decrease rapidly, photography began to be used for scientific purposes. In 1839, British-born American chemist John William Draper managed to take a photograph of the Moon, becoming the first person to successfully achieve astronomical photography. This achievement showcased the improved delicacy of photographic processes to the point where celestial bodies could be satisfyingly captured.	
vulcanization-of-rubber	1839	Vulcanization of rubber	The vulcanization process significantly improved rubber by making it durable and elastic at a range of temperatures, overcoming issues of brittleness in cold and stickiness in heat. This made rubber a practical material for a wide variety of uses, revolutionizing its application in industries.	Charles Goodyear	United States		Science	Although rubber was known to Europeans since the time of early explorers and native Americans, its usefulness was limited because it became hard and brittle when cold and sticky when warm. The process of vulcanization, discovered in 1839, involves adding sulfur to rubber and heating it, which changes its chemical structure to make it more durable and resistant to temperature changes.	
fuel-cell	1839	Fuel cell	Unlike batteries which effectively burn metals, a fuel cell is a device that generates electricity through an electrochemical reaction, typically using hydrogen and oxygen without combustion. It holds potential to be a clean, efficient source of energy.	William Grove	England	electric-battery	Science	The fuel cell was conceived as an alternative energy source capable of converting the energy produced by a chemical reaction directly into electricity. While its invention was promising and could theoretically offer a more efficient way of powering electrical devices, the cost and practicality of producing and utilizing fuel cells have limited their widespread use.	
antarctica	1839	Antarctica	Cruising in the south Indian Ocean, Wilkes saw enough land at a distance to realize that there was a continent within the Antarctic Circle.	Charles Wilkes	United States	antarctic-land	Geography		
ross-ice-shelf	1839	Ross ice shelf	Following his discovery of the north magnetic pole, Ross ventured south, discovering a large oceanic inlet covered by a vast overhang of ice. He also discovered Mt. Erebus, the southernmost active volcano.	James Clark Ross	Scotland	antarctic-land	Geography		
bicycle	1839	Bicycle	The modern bicycle was a significant advancement in personal transportation, enabling faster travel than by foot and utilizing human muscle power more efficiently. Its original design, which included two wheels of different sizes and pedals attached to the front wheel, has evolved into the various types of bicycles we see today.	Kirkpatrick MacMillan	England		Design	The initial design for the modern bicycle set the standard for personal transportation vehicles by showcasing the benefits of a two-wheeled, pedal-driven mechanism. It had a large front wheel and a smaller rear wheel, a design commonly known as the penny-farthing, which underwent numerous improvements before evolving into today's bicycle.	
discovery-of-lanthanum	1839	Lanthanum	Lanthanum is a chemical element first isolated from a compound of cerium, which was obtained from a rare earth mineral in 1839. It is noteworthy for being named from the Greek word meaning 'hidden' due to its obscurity within those minerals.	Carl Gustaf Mosander	Sweden	rare-earths	Science	The discovery of lanthanum involved the isolation of an element from a compound of cerium, which originated from a rare earth mineral. After its extraction, it was recognized as a new element and called lanthanum, a name derived from a Greek term reflecting its previously overlooked presence amidst other minerals.	
thermochemistry	1840	Thermochemistry	Hess's law states that the total heat release or absorption in a chemical reaction is constant, regardless of the pathway taken. It was a significant contribution to the field of thermochemistry and hinted at the laws of thermodynamics.	Germain Henri Hess	Russia	quantitative-chemistry	Science	In 1840, Hess's law was introduced, indicating that regardless of the intermediate steps involved in a chemical process, the total heat change when going from a specific set of reactants to products remains constant. This principle advanced the understanding of energy conservation in chemical reactions, aiding in calculations where direct measurements were impractical.	
ozone	1840	Ozone	Ozone (the greek word for "smell") is a gas that was tracked down and identified due to its unique smell in a laboratory, later recognized as a form of oxygen. It has significant implications for chemistry and atmospheric sciences.	Christian Friedrich Schönbein	Germany	oxygen	Science	In 1840, while working in a poorly ventilated laboratory, a German chemist noticed a unique odor associated with electrical equipment. After investigating, he was able to identify a new gas and named it ozone, after the Greek word for 'smell.' Eventually, an Irish physical chemist identified ozone as a form of oxygen.	
hypnotism	1841	Hypnotism	Hypnotism was determined to be a genuine state of mind resembling sleep, where the subject could be highly susceptible to suggestion. It was initially scrutinized following demonstrations of mesmerism.	James Braid	United Kingdom	mesmerism	Science	A British physician investigated mesmerism in 1841 and concluded that hypnotism, a term coined by him from the Greek word for 'sleep', was a real state of trance-like sleep that could be induced through repetitive stimuli, making the patient highly open to suggestion and insensitive to pain. This discovery paved the way for the therapeutic uses of hypnotism in medicine.	
photographic-negative	1841	Photographic negative	The invention of the photographic negative permitted multiple copies of a photograph to be produced from a single exposure, revolutionizing the field of photography by enabling image reproduction.	William Henry Fox Talbot	England	photography	General	Prior to the invention of the photographic negative, photographs were unique items, unable to be duplicated. William Henry Fox Talbot's photographic negative, made on paper treated with chemicals, allowed light to pass through and form an image on another piece of sensitized paper. This two-stage process meant that from one negative, numerous positives could be made. In 1844, the first book with illustrations made from photographs was published.	
needle-gun	1841	Needle gun	Up to now, all military small arms needed to be muzzle-loaded. The needle gun was a significant advancement in military firearms, enabling faster reloading with its breech-loading mechanism and the use of a needle to ignite the primer.	Johann Nikolaus von Dreyse	Germany	rifle	War	Before the advent of the needle gun, firearms were largely muzzle-loaded. Johann Nikolaus von Dreyse's invention, perfected by 1841, allowed bullets to be inserted at the rear of the barrel, which greatly increased the rate at which infantry could fire. Known as the 'needle gun' for its long firing pin, this gun's use of paper cartridges and a needle to detonate the primer represented a leap forward in weapon technology.	
screw-threads	1841	Screw threads	Standardization of screw threads contributed to the efficiency and consistency in industrial production, enabling parts from different factories to be interchangeable.	Joseph Whitworth	England	interchangeable-parts	Design	Prior to the standardization, screws and bolts were not uniform, causing problems in fitting parts together across various manufacturers. Joseph Whitworth's techniques for creating standardized screw threads meant that parts could fit together universally, facilitating international trade and industrialization. This advancement was key for allowing widespread interchangeability and efficiency in industrial production.	
chemical-fertilizer	1842	Chemical fertilizer	Chemical fertilizer was developed as a manufactured method for replenishing soil minerals to enhance soil fertility and agricultural productivity. This innovation was significant in the intensification of farming and increasing food supply.	John Bennet Lawes	England	agriculture	Science	The invention of chemical fertilizer arose from the need to return essential minerals to the soil that were depleted due to intensive cultivation. John Bennet Lawes patented a process for making superphosphate, a chemical fertilizer that became fundamental in modern agriculture, enabling the improvement of crop yields and the scaling of food production. Manure was traditionally used for this purpose, but chemical fertilizers provided a disease-free and odor-free alternative.	
doppler-effect	1842	Doppler effect	The Doppler Effect is a scientific discovery that explains the change in frequency or wavelength of a wave in relation to an observer moving relative to the wave source, noting the change in pitch of a locomotive's whistle as it approaches and then recedes from the observer, as a primary example.	Christian Johann Doppler	Austria	steam-locomotive-improved	Science	The discovery of the Doppler Effect was crucial in understanding how the perceived frequency of a wave, such as sound or light, changes when the source of the wave and the observer move relative to each other. An Austrian physicist named Christian Johann Doppler described this principle, noting the change in pitch of a locomotive's whistle as it approaches and then recedes from the observer, as a primary example. The Doppler Effect helps explain a variety of natural phenomena and has significant implications in areas like astronomy (e.g., redshift) and radar speed detection.	
cranial-index	1842	Cranial Index	Following Blumenbach's idea of races, Retzius suggested a using the ratio of skull width to skull length. An index of less than .8 was called dolichocephalic (long head) and greater was called brachycephalic (broad head). This failed attempt to split the human species into smaller groups only encouraged racism and ethnocentricity.	Anders Adolf Retzius	Sweden	races	Science		
mechanical-equivalent-of-heat	1843	Mechanical equivalent of heat	This concept established the relationship between mechanical work and heat, demonstrating that energy could be converted from one form to another but not created or destroyed. It was a foundational principle in the field of thermodynamics that quantified the amount of work needed to produce a specific quantity of heat.	James Prescott Joule	England	conservation-of-mass	Science	A British physicist decided to explore the relationship between work and heat through extensive experimentation. In 1843, he published findings that quantified the amount of work needed to generate a specific quantity of heat, an effort which established the mechanical equivalent of heat. This principle underpinned the conservation of energy and contributed significantly to the field of thermodynamics.	
sunspot-cycle	1843	Sunspot cycle	The periodic change in the sun's activity, including variations in the number of sunspots and a 10-year cycle (later refined to 11-year on average) was characterized during this time.	Samuel Heinrich Schwabe	Germany	sunspots	Space	While sunspots were initially observed by Galileo, it wasn't until this period that the cyclic nature of sunspot activity began to attract attention. The understanding that sunspots increased and decreased in a somewhat regular cycle imparted vital insights into solar behavior and its potential impact on Earth.	
quaternions	1843	Quaternions	Quaternions are an extension of complex numbers represented as points involving four numbers, which revolutionized three-dimensional computations and physics. They provided a new mathematical framework, paving the way for future developments in algebra and geometry.	William Rowan Hamilton	Ireland	imaginary-numbers	Math	In 1843, it was shown that complex numbers could be treated as points in a plane, and that each could be represented by two numbers. Hamilton tried to deal with hypercomplex numbers that could be represented as points in three or more dimensions and devised quaternions, represented by four numbers.	
higher-analytic-geometry	1843	Higher analytic geometry	Higher analytic geometry is an extension to n-dimensional spaces, providing a fundamental tool in understanding geometric properties and behaviors beyond two and three dimensions. It built upon previous work in analytic geometry and increased the potential for mathematical exploration in multiple dimensions.	Arthur Cayley	England	analytic-geometry, quaternions	Math	In 1843, Cayley worked out analytic geometry in three or more dimensions, which would be called n-dimensional analytic geometry. This was based on extending analytic geometry work in two dimensions, expressed by algebraic equations.	
wheatstone-bridge	1843	Wheatstone bridge	The Wheatstone Bridge (named after its popularizer, not original inventor) is an electrical circuit used to measure unknown electrical resistances with high accuracy. It became a critical instrument in scientific research and electrical engineering.	Charles Wheatstone	England	ohm's-law	Design	In 1843, the Wheatstone Bridge, although not invented by Wheatstone himself, garnered recognition when it became popular and widely introduced by him. The Wheatstone bridge measures the resistance of a circuit very delicately by balancing a number of currents against each other.	
transatlantic-liner	1843	Transatlantic liner	The S.S. Great Britain is recognized as the first modern ocean liner, featuring an iron hull and a screw propeller, marking the start of a new era in transatlantic travel. It significantly improved maritime transport efficiency and comfort, influencing future ship design.	Isambard Kingdom Brunel	England	screw-propeller	Design	The first ship seen as a modern transatlantic liner was the S.S. Great Britain, launched on July 19, 1843. It was 322 feet long, had a crew of 130, and featured an iron hull and screw propeller, setting new standards for shipbuilding and transoceanic travel.	
telegraph	1844	Telegraph	The telegraph is a communication system that transmits textual messages through electrical signals over wires. It facilitated rapid long-distance communication and had a significant impact on many aspects of society, including commerce, news dissemination, and military operations.	Samuel Morse	United States	morse-code, electromagnets	Science	In order to maintain the signal over long distances, the telegraph used a relay system invented in 1835. Electricity would pass through a wire, activating an electromagnet to pull on a telegraph key. This action would close a second circuit with its own battery, allowing a strong enough signal to engage another relay and continue the message transmission. Thus, messages could be relayed over vast distances by a network of wires and relays, providing nearly instantaneous communication across extended regions.	
companion-of-sirius	1844	Companion of Sirius	Astronomers discovered a companion star to Sirius, indicating that some stars have dark companions which are not luminous enough to be visible. This discovery suggested that stars can be influenced by gravitational pull from unseen objects, a concept which extended our understanding of stellar systems and their components.	Friedrich Wilhelm Bessel	Germany	stellar-motion, distance-of-stars	Space	The Companion of Sirius refers to the discovery of a star in close proximity to Sirius that followed an irregular path, suggesting the presence of an unseen gravitational influence. Astronomers like Bessel surmised that the erratic motions of certain stars near the end of their lives, such as Sirius and Procyon, indicated they were being influenced by unseen, non-luminous companions—later understood to be white dwarf stars or other dark celestial bodies.	
astraea	1845	Astraea	Astraea is an asteroid discovered after a long systematic search, marking the first newfound asteroid in nearly four decades and rekindling interest in asteroid hunting.	Karl Ludwig Hencke	Germany	asteroids	Space	The German amateur astronomer Karl Ludwig Hencke conducted a systematic search after 1830 and, after fifteen years of failure, discovered the asteroid named Astraea in 1845. This discovery came after a significant hiatus since the discovery of the first four asteroids (Ceres, Pallas, Juno, and Vesta), challenging the assumption that no other asteroids existed.	
spiral-nebulas	1845	Spiral nebulas	Using a telescope with a 72" wide mirror, Parsons observed spiral structures in certain nebulas provided a new understanding of galactic formations and laid the groundwork for future astronomical discoveries.	William Parsons	Ireland	nebular-hypothesis	Space	Before 1845, nebulae in the sky appeared amorphous without discernible structure. However, observations made in 1845, using more advanced telescopes, revealed that some nebulae had spiral structures, a significant breakthrough in astronomy that hinted at the complex composition of distant galaxies.	
permanent-gases	1845	Permanent gases	The term 'permanent gases' was coined for a group of gases that resisted liquefaction under higher pressures, challenging chemists with new boundaries of chemical experimentation.	Michael Faraday	England	liquefying-gases	Science	In 1845, Michael Faraday's experiments to liquefy gases previously thought impossible to liquify, such as oxygen and nitrogen, resulted in the identification of these gases which remained gaseous under the conditions applied. This discovery influenced future research and methods for gas manipulation and contributed to the advancement of physical chemistry.	
anesthesia	1846	Anesthesia	The development of anesthesia involved the use of substances such as ether to induce unconsciousness and sensitize patients for pain-free operations. It revolutionized medicine by allowing more complex and longer surgeries to be performed without causing pain to the patient.	William Thomas Green Morton	United States	chloroform, hypnotism	Science	The development of anesthesia involved the use of substances such as ether to induce unconsciousness and sensitize patients for pain-free operations. While initial experiments were conducted in the 1840s, it wasn't until an American dentist, William Thomas Green Morton, publicly demonstrated the use of ether on a patient in 1846 that the practice was adopted into mainstream medicine.	
neptune	1846	Neptune	Neptune is a distant planet discovered due to irregularities in Uranus's orbit, which suggested the gravitational influence of another planet. It was observed for the first time in 1846, helped by calculations of its possible location due to these perturbations.	John Couch Adams, Urbain-Joseph Le Verrier	England, France	uranus	Space	The planet Uranus was found to have irregularities in its orbit, leading astronomers to predict the presence of Neptune based on gravitational influences on Uranus. Initial predictions were made and refined leading to the eventual observation of the planet in 1846, confirming the existence of the then-unknown planet. Neptune was named after the Roman god of the sea and was significant for showing that objects in our solar system could still be discovered.	
